Ticker,1617.T,1617.T,1618.T,1618.T,1619.T,1619.T,1620.T,1620.T,1621.T,1621.T,1622.T,1622.T,1623.T,1623.T,1624.T,1624.T,1625.T,1625.T,1626.T,1626.T,1627.T,1627.T,1628.T,1628.T,1629.T,1629.T,1630.T,1630.T,1631.T,1631.T,1632.T,1632.T,1633.T,1633.T
ReturnType,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,-0.0013568521031208647,,0.0017050298380221207,,2.220446049250313e-16,,0.0,,-0.009981851179673429,,0.00543900543900544,,-0.006317689530685899,,0.004830917874396157,,0.0019065776930409228,,0.0,,-0.0008928571428571397,,0.0,,0.000540540540540535,,-0.003444316877152631,,-0.014888337468982438,,-0.0023923444976077235,,0.0
2010-01-05,-0.002717333022095203,-0.005420054200541924,0.03234057523947298,0.020185029436501134,0.014964111686101456,0.0008417508417508657,0.005504457685739483,-0.006346328195829476,0.007332746938327528,-0.006329113924050667,-0.011592179377615364,-0.013117283950617287,0.02997273587033522,0.01749663526244949,0.01622608953325777,0.0,0.017126661093967765,0.005644402634054524,0.010407595480711684,0.0023148148148146586,0.008042791310422626,0.0,0.00802405518069138,-0.004950495049504955,0.018368525183627415,-0.002645502645502673,0.006912353863247844,0.001145475372279492,0.005037896835619726,-0.0037453183520599342,0.025180083102845474,0.00588235294117645,0.00549110311714851,-0.0006064281382655023
2010-01-06,0.004087235116122745,0.003403675970047537,0.00577061942043966,0.00328947368421062,0.0016822308620230153,-0.004180602006689127,0.0036498870452457144,0.0036496350364962904,0.008189252960603577,0.0072727272727273196,0.003909340442331377,0.006269592476489061,0.0,0.008896797153024716,-0.0005914634563062293,0.0029673590504450953,-0.00748370238311602,0.0009433962264151496,0.013856631175408918,0.009195402298850519,0.004432684476578519,0.007111111111111068,0.015920555951586035,0.006903353057199357,0.014323606362360408,0.007376185458377149,0.013729939001334568,0.006818181818181834,0.032581507842309954,0.026151930261519185,0.016374105504831427,0.022352941176470686,0.022451545928512173,0.015672091621458772
2010-01-07,-0.004070597626559924,0.0,-0.0008195811080483617,-0.002454991816693952,0.005877434639983692,0.0016722408026756952,-0.004545347078400153,-0.002732240437158362,-0.004512761637032847,-0.0009057971014493349,-0.009345858382683758,-0.007800312012480437,0.0057319808402744865,-0.003930131004366788,-0.007100470236811263,-0.009445100354191438,-0.005655150996570213,-0.005655042412818112,0.0,0.0011402508551880963,0.0052955367976537104,0.0035242290748898064,0.0058767039344176375,0.010826771653543288,-0.0036610875978174695,-0.00574112734864296,-0.0011286089645355935,0.0011312217194570096,0.018203912826656232,0.004790419161676773,0.02071361386138615,0.007954545454545547,0.0029672312072162033,-0.005297233666862855
2010-01-08,0.0034059428927177837,-0.002032520325203291,-0.013945763024243774,-0.013945857260049155,0.00918182747549734,-0.0024752475247524774,0.01004553607147085,-0.003603603603603678,-0.0027196336554083933,0.0036496350364962904,0.024371114878090072,0.00617760617760621,-0.006576075380386293,-0.010480349344978102,0.023838078206031676,0.010588235294117565,0.015166134008756549,0.01516587677725112,0.004555956716065124,-0.0011325028312570984,0.005267746352372926,0.0070360598065084545,0.01363178041452584,0.01363193768257065,0.013123358614814729,0.003640145605824152,-0.0011298167464068865,-0.01007838745800671,0.007151381996213235,0.0,0.009019041150027052,0.00561797752808979,0.005917322633237854,0.00591715976331364
2010-01-12,0.00882561653900793,0.004054054054054124,0.017470992454068135,0.014937759336099532,0.007444013707231356,0.010788381742738551,0.007232990720134058,0.011807447774750068,0.0,-1.1102230246251565e-16,0.025326206028772225,0.01365705614567525,0.03000890613353957,0.014782608695652177,0.0058204834467809885,0.016470588235294015,0.009337000426624886,0.008395522388059629,0.005748245568303778,0.0,0.0026203312998969164,0.0026200873362445254,0.006724535107219598,0.0,0.019171055662561498,0.01706308169596693,0.0,-0.001129943502824804,0.002366769422097237,0.014371257485029876,0.01340791807876296,0.007777777777777661,0.018235295580914412,0.012873025160912821
2010-01-13,0.002018777704332342,-0.0006711409395973034,-0.017170998076249222,0.0,-0.004926027637897401,2.220446049250313e-16,0.003590912374988875,0.0,0.0027270502330021262,0.009149130832570851,-0.008233544238525514,-0.0185185185185186,-0.020137162925911944,-0.012521588946459494,0.001157449464690874,-0.0023068050749710522,-0.006475261787818987,-0.0018587360594795044,0.00668490594773119,0.015927189988623303,0.0017420800446106277,0.0017421602787457413,-0.008587826440352608,-0.0009615384615385691,-0.021860627228829088,-0.008247422680412342,0.012443458764549442,0.0,-0.008264476574332935,-0.008264462809917217,-0.009922932745401347,-0.015350877192982448,-0.017908724692666467,-0.015063731170335992
2010-01-14,-0.013431885543328526,0.006854009595613553,0.0033276736009459906,-0.008223684210526216,-0.0033002332789759947,-1.1102230246251565e-16,0.009838766081167405,0.03768382352941191,0.002719931384225882,0.010968921389396646,0.012075409308254903,0.0029917726252806087,-0.0004370902279113853,2.220446049250313e-16,0.003468185524990508,0.02721893491124261,0.01862162590648664,0.04789272030651337,0.002239578602105885,0.0,0.006086831996747755,0.004340277777777679,0.002887199563354814,-0.003824091778202643,0.023388768278927108,0.02338877338877343,-0.006335315202529945,0.0,0.02023812922541479,0.002339181286549863,0.011135884846179112,0.002207505518763808,-0.007647088414048486,0.016265060240963747
